strikePrice,expiryDate,underlying,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue,instrumentType,timestamp
1540,25-Nov-2025,INFY,3429,-367,-9.668071654373025,5415,19.9,23.55,0.0,0.0,153200,174800,800,23.4,400,23.75,1504.9,CE,27-Oct-2025 15:30:00
1560,28-Oct-2025,INFY,639,-104,-13.997308209959623,432,0.0,55.9,-5.0,-8.210180623973727,57200,26000,400,54.7,1200,57.05,1504.9,PE,27-Oct-2025 15:30:00
1560,28-Oct-2025,INFY,34779,-1799,-4.918256875717645,29915,42.68,0.9,-1.1,-55.00000000000001,1591600,256800,4400,0.8,2800,0.95,1504.9,CE,27-Oct-2025 15:30:00
1560,25-Nov-2025,INFY,368,93,33.81818181818182,288,0.0,71.2,-4.450000000000003,-5.882352941176474,25200,33200,400,70.9,400,71.7,1504.9,PE,27-Oct-2025 15:30:00
1560,25-Nov-2025,INFY,3117,220,7.594062823610631,3028,20.3,17.55,0.10000000000000142,0.5730659025788047,153200,143200,2800,17.3,400,17.65,1504.9,CE,27-Oct-2025 15:30:00
1560,30-Dec-2025,INFY,0,0,0.0,0,0.0,0.0,0.0,0.0,0,800,0,0.0,400,51.05,1504.9,CE,27-Oct-2025 15:30:00
1560,30-Dec-2025,INFY,0,0,0.0,0,0.0,0.0,0.0,0.0,800,800,800,74.5,800,89.55,1504.9,PE,27-Oct-2025 15:30:00
1580,28-Oct-2025,INFY,671,-36,-5.091937765205092,61,38.45,74.75,-5.150000000000006,-6.445556946182735,30400,30000,400,72.9,800,77.0,1504.9,PE,27-Oct-2025 15:30:00
1580,28-Oct-2025,INFY,6817,-2728,-28.58040859088528,12100,48.98,0.4,-0.7999999999999999,-66.66666666666666,423600,108800,1600,0.4,1200,0.45,1504.9,CE,27-Oct-2025 15:30:00
1580,25-Nov-2025,INFY,1486,212,16.64050235478807,1698,20.67,12.9,-0.5,-3.731343283582089,168000,122800,2000,12.8,400,12.9,1504.9,CE,27-Oct-2025 15:30:00
1580,25-Nov-2025,INFY,144,14,10.76923076923077,55,28.36,86.5,-4.75,-5.205479452054795,42000,42800,400,85.05,400,91.2,1504.9,PE,27-Oct-2025 15:30:00
1600,28-Oct-2025,INFY,324,-133,-29.102844638949673,230,0.0,94.5,-5.25,-5.263157894736842,33600,40800,800,93.8,800,97.05,1504.9,PE,27-Oct-2025 15:30:00
1600,28-Oct-2025,INFY,3170,-1159,-26.772926772926773,6707,0.0,0.25,-0.55,-68.75,330800,276800,13600,0.2,1200,0.25,1504.9,CE,27-Oct-2025 15:30:00
1600,25-Nov-2025,INFY,1000,228,29.533678756476682,345,0.0,102.3,-5.75,-5.321610365571495,46000,48400,400,101.15,400,106.3,1504.9,PE,27-Oct-2025 15:30:00
1600,25-Nov-2025,INFY,5870,762,14.917776037588098,5469,0.0,9.7,-0.40000000000000036,-3.960396039603964,322000,530000,800,9.55,1600,9.75,1504.9,CE,27-Oct-2025 15:30:00
1600,30-Dec-2025,INFY,320,-45,-12.32876712328767,161,18.72,21.75,0.6499999999999986,3.08056872037914,20400,13200,400,21.8,800,22.85,1504.9,CE,27-Oct-2025 15:30:00
1600,30-Dec-2025,INFY,0,0,0.0,0,0.0,0.0,0.0,0.0,400,0,400,100.0,0,0.0,1504.9,PE,27-Oct-2025 15:30:00
